x, y, cost, index, parent_index;
1632.355398, 17.200290, 1634.627273, 415, 343;
1570.981668, 10.564911, 1573.759937, 416, 318;
1163.010678, 13.672637, 1165.224704, 417, 294;
1255.170489, 6.984305, 1258.299166, 418, 390;
718.631441, 17.261493, 720.557911, 419, 300;
1678.170043, 14.967052, 1680.496318, 420, 412;
414.140432, 7.845975, 416.247897, 421, 45;
1374.565614, 17.943919, 1376.686234, 422, 239;
1376.711089, 6.129949, 1381.327235, 423, 221;
443.408057, 12.284876, 445.394708, 424, 51;
1614.908287, 10.834546, 1617.542572, 425, 336;
895.745795, 19.033054, 897.810777, 426, 115;
1031.666283, 3.319826, 1034.975315, 427, 354;
1527.113226, 14.880825, 1529.591994, 428, 279;
838.669918, 18.241241, 840.696315, 429, 100;
419.373393, 4.536294, 421.491887, 430, 229;
652.210227, 15.639639, 654.105568, 431, 75;
620.100006, 3.023141, 622.486104, 432, 225;
1536.236930, 18.404240, 1538.394071, 433, 291;
1687.909017, 17.236936, 1690.291902, 434, 400;
1697.722552, 15.314821, 1700.036989, 435, 412;
1264.389342, 3.109677, 1267.922525, 436, 390;
617.724338, 13.069296, 619.603289, 437, 71;
1605.316314, 16.176522, 1607.492797, 438, 336;
1263.351647, 19.888477, 1265.543708, 439, 189;
645.048217, 11.473091, 646.953382, 440, 123;
901.192273, 5.071579, 903.794390, 441, 288;
195.034379, 3.339399, 196.623774, 442, 18;
636.497763, 16.690857, 638.441948, 443, 298;
604.750906, 12.986575, 606.629528, 444, 68;
1705.887685, 18.419509, 1708.309420, 445, 434;
646.495303, 15.072655, 648.378779, 446, 75;
686.962631, 16.849213, 688.879016, 447, 431;
474.540696, 4.910598, 476.661801, 448, 306;
747.181438, 11.758288, 749.085876, 449, 379;
435.554806, 11.697514, 437.381330, 450, 48;
579.773927, 17.138221, 581.700842, 451, 366;
1548.613375, 17.687733, 1550.768722, 452, 291;
1715.887080, 18.309575, 1718.290520, 453, 434;
53.755185, 7.762803, 56.658256, 454, 5;
333.053022, 3.434269, 334.669436, 455, 32;
1521.297239, 11.392064, 1523.955782, 456, 386;
218.325795, 3.223599, 219.915478, 457, 442;
1206.742853, 6.020955, 1209.728451, 458, 190;
959.908977, 18.873253, 961.975574, 459, 128;
1489.021532, 3.220686, 1493.417915, 460, 330;
1212.235676, 7.848465, 1215.160722, 461, 190;
457.376335, 5.346006, 459.503454, 462, 430;
279.479531, 5.701254, 281.050529, 463, 29;
190.733532, 9.033184, 192.562560, 464, 69;
1028.679239, 7.204676, 1031.982164, 465, 333;
1354.496999, 9.116796, 1357.116460, 466, 287;
1248.329680, 10.635339, 1250.785911, 467, 364;
944.607588, 3.633180, 947.360476, 468, 158;
1719.321520, 8.917844, 1722.563346, 469, 435;
1554.473000, 18.910454, 1556.621438, 470, 296;
968.708687, 2.590859, 971.484104, 471, 468;
1507.154620, 17.458873, 1509.313386, 472, 277;
1614.639518, 14.960868, 1616.849312, 473, 336;
275.839073, 5.093086, 277.405825, 474, 27;
694.680416, 1.935081, 697.502379, 475, 270;
1401.461530, 12.738127, 1403.899828, 476, 389;
784.394101, 5.067892, 786.824149, 477, 387;
1729.256250, 10.058522, 1732.005767, 478, 435;
613.394656, 13.552141, 615.266959, 479, 71;
222.728928, 15.679677, 225.092804, 480, 89;
766.939065, 0.100267, 772.026523, 481, 449;
56.684491, 0.918080, 58.163742, 482, 5;
846.290095, 8.034978, 848.785569, 483, 393;
655.479574, 3.614447, 657.870613, 484, 432;
1586.415560, 18.905317, 1588.563999, 485, 470;
1051.658370, 13.482627, 1054.003376, 486, 218;
471.643925, 13.467158, 473.501003, 487, 53;
1059.448651, 1.242123, 1062.835264, 488, 427;
154.165094, 17.543159, 158.081550, 489, 47;
1079.741555, 11.391669, 1082.164295, 490, 486;
576.051759, 9.669503, 578.037078, 491, 326;
447.952492, 3.406879, 450.093293, 492, 430;
139.639406, 17.082221, 143.730408, 493, 12;
1328.033777, 18.677819, 1330.170770, 494, 212;
1432.556225, 14.452754, 1434.790091, 495, 250;
1636.283867, 16.639840, 1638.463816, 496, 438;
686.979531, 19.233181, 688.987923, 497, 85;
1332.586844, 14.074773, 1334.867392, 498, 211;
1177.068954, 0.213114, 1180.476282, 499, 321;
1169.952132, 6.564559, 1172.891536, 500, 401;
1461.544206, 10.348467, 1464.067184, 501, 495;
159.602033, 17.737779, 163.339388, 502, 47;
1221.283066, 9.604799, 1224.252848, 503, 190;
364.437141, 11.215691, 366.243064, 504, 407;
1436.474539, 13.377677, 1438.786492, 505, 250;
1162.234853, 7.749000, 1165.164609, 506, 402;
214.901030, 4.286455, 216.475613, 507, 20;
90.322181, 1.079373, 91.801818, 508, 482;
1372.385980, 13.441042, 1374.671573, 509, 498;
804.324247, 13.365292, 806.340447, 510, 286;
1470.720654, 6.374451, 1473.741342, 511, 505;
580.750248, 3.776732, 582.896741, 512, 281;
500.153172, 15.176610, 502.020059, 513, 57;
1045.799636, 5.239389, 1048.643217, 514, 354;
6.159569, 15.622795, 26.352759, 515, 0;
252.390027, 11.931751, 254.287189, 516, 317;
769.140913, 3.685550, 772.482192, 517, 449;
411.398931, 19.241024, 414.115754, 518, 45;
1601.490988, 12.470567, 1603.959771, 519, 325;
1739.184420, 11.254952, 1742.005767, 520, 478;
1210.868625, 19.627778, 1213.003595, 521, 175;
1225.505264, 3.395468, 1228.543295, 522, 243;
403.158817, 11.375140, 404.900765, 523, 42;
1439.697393, 3.911251, 1442.669169, 524, 302;
346.653670, 13.765543, 348.634961, 525, 82;
1201.045678, 9.662366, 1203.470534, 526, 417;
718.588881, 10.602991, 720.528866, 527, 377;
678.809130, 19.478383, 680.846160, 528, 84;
183.609257, 11.913369, 185.662868, 529, 410;
1250.820318, 14.880370, 1252.989156, 530, 185;
1191.288316, 4.768538, 1194.263633, 531, 401;
282.854579, 18.780412, 285.385783, 532, 323;
1234.463993, 19.107745, 1236.604694, 533, 521;
1749.165557, 10.641040, 1751.923595, 534, 478;
854.037296, 17.246614, 856.089162, 535, 104;
586.001946, 0.799008, 588.359328, 536, 281;
180.291963, 8.626174, 182.095035, 537, 16;
230.903634, 14.670879, 233.043298, 538, 89;
432.442146, 8.621137, 434.313311, 539, 523;
1212.947706, 18.354440, 1215.039455, 540, 179;
1587.087315, 18.342734, 1589.240694, 541, 470;
1035.395543, 16.618588, 1037.557875, 542, 145;
1529.661686, 5.782676, 1533.170448, 543, 386;
879.564999, 15.498598, 881.676643, 544, 535;
1565.719138, 8.239403, 1568.489416, 545, 318;
596.653684, 3.574632, 598.800828, 546, 281;
1167.185000, 19.966437, 1169.271302, 547, 167;
990.636777, 15.992733, 992.838093, 548, 459;
821.799921, 7.932911, 824.339529, 549, 477;
240.280202, 7.824579, 241.962528, 550, 23;
1359.969573, 13.093076, 1362.267713, 551, 498;
1721.814124, 8.520646, 1725.068263, 552, 435;
655.018855, 17.935918, 656.970825, 553, 224;
914.477678, 5.684330, 917.020057, 554, 288;
622.791967, 7.668162, 625.257714, 555, 546;
671.233256, 11.218349, 673.139661, 556, 440;
170.407478, 7.331458, 172.128104, 557, 16;
106.667777, 19.387221, 110.740173, 558, 114;
979.733331, 18.207076, 981.811118, 559, 459;
510.773990, 16.384116, 512.672456, 560, 215;
1071.759672, 12.864276, 1074.114186, 561, 486;
